merchant_id,merchant_name,business_type,country_code,city,signup_date,plan_type,status,churn_date
746bf913-a94f-47b0-8776-3db65cf093d3,Road Leipzig Grill,food_truck,DE,Leipzig,2022-09-05,premium,active,
2a59597b-6c10-4d30-b6ed-ccfe34f55252,Luxe Düsseldorf Salon,beauty_salon,DE,Düsseldorf,2023-07-18,free,active,
9f653f1e-56c3-47ae-a6cd-bc858ff70ba5,Street Street Food,food_truck,DE,Munich,2022-10-22,free,active,
0acb1e48-0e37-4892-a68e-05378b5dd033,Frankfurt Shots,photography_studio,DE,Frankfurt,2022-09-09,premium,active,
9038ef20-a3ee-4985-a975-00e284f2c6c3,Core Studio,fitness_studio,DE,Berlin,2023-10-11,premium,active,
b539393a-5194-41a9-8fe1-8abbfbe420e1,Café Espresso,cafe,GB,London,2023-09-09,free,active,
063e94f1-6712-47d8-89cd-0213cd93020a,Little Liverpool Coffee,cafe,GB,Liverpool,2024-01-15,free,churned,2024-10-21
79c95c3d-0af7-4904-9fad-66c50f69edd5,London Brew,cafe,GB,London,2022-11-09,premium,active,
da034574-f5ca-4bf1-b02d-b9a02a67d442,Café Coffee,cafe,GB,Birmingham,2022-10-01,free,active,
59c073d5-cf8d-4631-8ecb-cac64103d508,London Garden,florist,GB,London,2023-11-18,free,active,
d9899b71-ce82-482e-940f-132e687100d4,Leeds Bites,food_truck,GB,Leeds,2024-03-22,free,active,
ec255619-dbdf-4676-926c-875cf47e9fad,The Manchester Brew,cafe,GB,Manchester,2022-08-15,free,active,
b8e330f6-1bc7-4839-b6dc-68b378e1eab1,Pulse Studio,fitness_studio,GB,Birmingham,2023-03-19,premium,active,
93438aec-4908-4bbb-b727-5dc27a84a329,Bristol Flowers,florist,GB,Bristol,2023-12-20,free,active,
a3b5ce04-b3a6-4b9b-8dec-52d9d371e81d,Rolling Birmingham Street Food,food_truck,GB,Birmingham,2023-03-06,free,active,
2e1e6c24-d60d-490f-8659-39550e5a4b60,Nomad Street Food,food_truck,GB,Leeds,2023-02-13,free,active,
6e641349-1031-4b73-a9bd-f2536b520318,Wild Manchester Flowers,florist,GB,Manchester,2023-05-08,free,active,
1a926799-30bd-473f-977d-fcede22d8e2c,Bristol Brew,cafe,GB,Bristol,2023-08-12,free,active,
8dfa8158-043d-4c61-9e34-8329dfdc14a4,Birmingham Greens,market_stall,GB,Birmingham,2022-10-30,free,churned,2025-01-08
e2a1a26e-4930-40de-9308-db2d386bde80,London Studio,photography_studio,GB,London,2022-09-14,premium,active,
5af1465d-b08f-4618-a5d4-8f530c7e5026,Core Glasgow Studio,fitness_studio,GB,Glasgow,2022-11-29,free,churned,2024-12-06
9cda7245-c4e8-41cc-868b-028ce911e2c4,Quick Glasgow Tech Lab,electronics_repair,GB,Glasgow,2024-05-19,premium,active,
a71cc131-f8a2-495b-92c0-f4b7a4b3a713,Road Eats,food_truck,GB,Liverpool,2023-01-20,free,active,
27eb70c1-a10c-485e-81ad-083e5b99412f,Golden Bakes,bakery,GB,Glasgow,2024-03-18,free,active,
a6d093cb-08e5-42af-9d27-99b90ed0ec16,Pulse Leeds Gym,fitness_studio,GB,Leeds,2024-01-16,free,active,
998a31d6-16f4-47d3-8e75-4e84dfd00301,Farmer's Goods,market_stall,GB,Manchester,2024-02-11,free,active,
81aa2703-acc9-43eb-abd5-2a15bd7b92e2,Edinburgh Kitchen,food_truck,GB,Edinburgh,2023-12-04,free,active,
626094e1-6563-4f80-b119-8b5920881fde,Edinburgh Bakes,bakery,GB,Edinburgh,2023-04-18,free,active,
e466b852-21c6-49a8-9e32-6ed726283dc8,Pure Aesthetics,beauty_salon,GB,Bristol,2024-05-14,premium,active,
46f35738-b1d7-4a6d-ba8d-22349bcd847f,Glasgow Florist,florist,GB,Glasgow,2024-01-04,free,active,
fbadfb0c-2241-49d9-92e6-27f4b28f6c5d,Paris Breads,bakery,FR,Paris,2024-02-12,free,active,
4bef119d-aa0b-4244-8068-f68ba2ab5cd6,Strasbourg Blooms,florist,FR,Strasbourg,2022-11-21,free,active,
be82514e-2bd6-4c9c-aa0f-c5e9bc4ded7e,Urban Nice Roastery,cafe,FR,Nice,2022-12-21,premium,churned,2025-05-01
ce20cba5-049f-489a-8430-280b44a3e30e,Lyon Beauty,beauty_salon,FR,Lyon,2024-05-14,premium,active,
d2ce0628-df21-4f92-b4ef-2c0902e39ffa,Bloom Flowers,florist,FR,Marseille,2023-01-11,premium,active,
82a8279f-447d-4562-9a84-495e853dfa1e,Urban Café,cafe,FR,Strasbourg,2022-10-15,free,active,
8acbd11b-07a9-4323-a3a5-7c748eb5b34a,Nice Movement,fitness_studio,FR,Nice,2023-10-30,premium,active,
be28a235-2ceb-4d59-bfc2-13e08d0564f8,Pixel Shots,photography_studio,FR,Strasbourg,2023-02-09,free,active,
0703aecf-ec85-4e30-91a9-fe550e4992c3,Wild Strasbourg Blooms,florist,FR,Strasbourg,2024-05-31,free,active,
12d57c45-ae8b-4644-8ca3-46cb1414ea5e,Lens Nice Studio,photography_studio,FR,Nice,2023-01-23,premium,active,
12427f9a-14e0-4109-bb50-d346a8795aae,Bordeaux Roastery,cafe,FR,Bordeaux,2023-09-21,free,active,
8184056a-dcdf-439d-ab07-709cca8f70d7,Nantes Bakery,bakery,FR,Nantes,2023-06-25,free,active,
ad570208-e0be-4126-849d-1761412e4b9e,Toulouse Shop,clothing_store,FR,Toulouse,2024-06-22,free,active,
b5de7123-24f1-4291-988c-f7ce201effcb,Bella Studio,beauty_salon,FR,Bordeaux,2022-06-30,premium,active,
e087b421-92d5-41fc-9633-cf3683086541,Nantes Wear,clothing_store,FR,Nantes,2023-11-29,premium,active,
97be0390-136d-4272-8a55-65a7b071fea5,Corner Coffee,cafe,FR,Paris,2022-12-04,premium,active,
a30a7e8c-6c7d-4447-86f5-70c701692a29,Bella Studio,beauty_salon,FR,Bordeaux,2023-08-06,premium,active,
f36baa6d-39f8-4f37-b05b-4f50e50694c3,Thread Paris Fashion,clothing_store,FR,Paris,2024-03-27,premium,active,
a51db21b-3618-4439-a3a3-f5ee675092f6,Style Paris Wear,clothing_store,FR,Paris,2024-02-27,premium,active,
00330f19-d55d-4342-b9b2-f93e8eb46978,Lyon Harvest,market_stall,FR,Lyon,2023-02-18,free,active,
8a65eb71-9355-4b9b-b8c8-3e544de5eb89,Pulse Studio,fitness_studio,BR,Porto Alegre,2022-09-19,free,active,
9ee11107-aead-4b00-8f40-a4c29826cf20,Porto Blooms,florist,BR,Porto Alegre,2022-12-21,premium,active,
d97210bb-e09e-434a-b910-a03d75ec248b,Nomad Salvador Street Food,food_truck,BR,Salvador,2024-01-01,free,active,
367c84a6-1fae-445d-ac42-938688aa0a61,Curitiba Garden,florist,BR,Curitiba,2023-05-16,premium,active,
6f64f0be-dbe9-466a-a633-a867387cd7c7,Curitiba Espresso,cafe,BR,Curitiba,2022-11-04,free,active,
1437737c-212b-4ab9-9a9b-46468d1e6040,The Grill,food_truck,BR,Salvador,2023-08-21,free,active,
345a202b-b914-4dbd-b186-29ab96a7fc7e,Fix Tech Lab,electronics_repair,BR,Belo Horizonte,2023-02-05,free,active,
921c5e6d-df53-4945-979c-233505b0156c,Golden Breads,bakery,BR,Salvador,2022-12-04,free,active,
49f259ee-f1b2-4504-90b1-4025a02bbdc2,Belo Bakes,bakery,BR,Belo Horizonte,2022-06-11,free,active,
3cba22fa-b77d-4484-b139-d1e91c6b929b,Vintage Rio Shop,clothing_store,BR,Rio de Janeiro,2024-05-08,premium,active,
13fd1110-bc1a-42e7-bb87-20f512e95f1c,Thread Curitiba Fashion,clothing_store,BR,Curitiba,2023-07-20,free,active,
47c2410a-eea1-4b29-ac6e-166af6bfe12a,The Loaves,bakery,BR,Porto Alegre,2023-08-10,free,active,
7b92b0d8-ce27-43fd-a302-31a0334963d1,Urban Fashion,clothing_store,BR,Belo Horizonte,2023-01-23,premium,active,
a1612c09-f077-4247-a774-be27becd0628,Style São Wear,clothing_store,BR,São Paulo,2024-06-26,premium,active,
89421fab-de2e-4f02-86a6-f34920d8e8a3,Local Produce,market_stall,BR,Porto Alegre,2023-01-19,free,active,
b4011607-9bf2-464a-98cb-c7d01505cdb8,Farmer's Salvador Market,market_stall,BR,Salvador,2023-12-19,free,active,
89b1942b-0173-4cbd-817e-c87be85ddaa6,Pixel Salvador Photography,photography_studio,BR,Salvador,2024-01-09,premium,active,
286ba12d-0e53-45e7-b172-a0fcd5e82f1d,Rolling Eats,food_truck,BR,Belo Horizonte,2022-09-25,free,active,
62062aee-7149-4830-8b74-cf2c26070856,Local São Produce,market_stall,BR,São Paulo,2023-12-29,free,active,
d77be0fd-a847-4056-8740-6ea0f171adb0,Rio Brew,cafe,BR,Rio de Janeiro,2024-02-24,free,active,
df2728c7-82cf-46bc-adc0-b605d394772c,Peak Movement,fitness_studio,US,Denver,2023-04-09,free,churned,2024-04-11
75a8be33-a338-4d25-bb7c-c0b225693651,Wild Houston Flowers,florist,US,Houston,2023-02-01,premium,churned,2024-01-03
e540d254-6c84-429d-87d7-a2ae211869d1,Studio Studio,beauty_salon,US,Austin,2022-07-04,premium,active,
e16b0256-55f3-4459-9221-b32ab1738a8d,Denver Roastery,cafe,US,Denver,2024-01-25,free,active,
77fc9178-4b8a-4902-9f58-e70efccde999,Urban Coffee,cafe,US,Austin,2022-10-24,premium,active,
6dd58074-e35b-437a-97c6-a60157a5be47,The Goods,market_stall,US,Miami,2022-10-06,free,active,
b6e4314e-79f1-4197-b004-7a9e469b5918,Strong Movement,fitness_studio,US,Austin,2023-08-23,premium,churned,2025-03-18
7ea48598-3007-4197-9080-cb58b5464f9c,Bloom Seattle Flowers,florist,US,Seattle,2024-04-21,free,active,
82ee2825-862e-426c-8f9b-27e178438767,Peak New Movement,fitness_studio,US,New York,2022-11-27,premium,active,
59546bcd-2636-446a-80ff-31ef6c7eea43,Miami Grill,food_truck,US,Miami,2023-10-17,free,active,
fe024c56-2b52-442c-b11d-4c59fe3db639,Golden Patisserie,bakery,US,Austin,2023-07-27,free,active,
01528053-864e-43e0-97e2-eb86fd1ef37d,Tech Repair,electronics_repair,US,Austin,2022-08-30,free,active,
eff0e94d-a510-4cf4-b146-962fde00d806,Lens Images,photography_studio,US,Austin,2023-07-29,premium,active,
f8a5e20d-b653-43e2-8180-9a236a5020a7,Bloom Florist,florist,US,Denver,2023-12-15,premium,active,
7bb66c4d-a955-4a2b-ab06-11222ff2d9a9,Denver Coffee,cafe,US,Denver,2022-11-10,free,churned,2025-02-21
9b6e2eef-e285-4fd4-90e5-6bc613fbb13c,Rolling Los Grill,food_truck,US,Los Angeles,2024-03-25,free,active,
e5fab4f7-bb27-4973-9391-89f7bcf86525,Bella Studio,beauty_salon,US,Miami,2023-09-27,premium,active,
2abf162b-067e-46a4-98ce-b95d5d0aa71b,Austin Street Food,food_truck,US,Austin,2022-10-18,free,active,
cb830d86-161c-43d9-90fb-b1d85109862f,The Austin Bakes,bakery,US,Austin,2023-03-17,free,active,
7aafb67d-77ee-4aae-bb1d-47e8c72c6dc2,Pixel Images,photography_studio,US,Denver,2023-05-20,premium,active,
d1d8b566-18c8-4cd5-938b-dcbedda3fcdb,Poznań Beauty,beauty_salon,PL,Poznań,2023-01-31,free,active,
d83fe905-bf3d-4795-98db-1da986dbce70,Corner Espresso,cafe,PL,Poznań,2024-04-10,free,active,
e7152b82-c97f-482c-9fb3-613597bf67a2,Kraków Beauty,beauty_salon,PL,Kraków,2024-01-26,premium,active,
866720f1-0405-4943-94f6-8ff6444ced52,Poznań Café,cafe,PL,Poznań,2022-10-26,free,active,
82af40d5-ed68-4928-8f73-019e53d7a424,Kraków Roastery,cafe,PL,Kraków,2024-05-10,free,active,
ea791d24-a0ef-4640-8dc5-d20e009fb857,Tech Service,electronics_repair,PL,Wrocław,2024-03-03,free,active,
6672de0a-9332-4a15-bf9e-92eefb01519c,Gdańsk Coffee,cafe,PL,Gdańsk,2024-05-01,free,active,
49762b5d-24f1-42ae-9fd3-5248e524a145,Café Café,cafe,PL,Łódź,2022-11-18,free,active,
51939433-f24d-4679-a24c-5bc76f67f69c,Golden Bakes,bakery,PL,Warsaw,2023-06-19,free,active,
347c77ff-1499-4ee2-9d3a-38e072cf9325,Fresh Poznań Produce,market_stall,PL,Poznań,2022-08-20,free,active,
f3095ded-c1cf-42ca-9205-4ce753b7b460,The Łódź Bites,food_truck,PL,Łódź,2023-09-16,free,active,
4b6c00ed-5148-4256-949f-5cb024edeea1,Łódź Roastery,cafe,PL,Łódź,2023-12-12,premium,active,
e31cbb98-3beb-408a-8c97-34d06d97b433,Wrocław Training,fitness_studio,PL,Wrocław,2023-02-12,premium,active,
6867f41c-ecb6-495d-a78b-e3cac41c2711,Fix Fix,electronics_repair,PL,Poznań,2024-01-07,free,active,
fa324ee3-eefb-4f37-b0c7-a045afb53a1c,Heritage Łódź Bakes,bakery,PL,Łódź,2024-01-01,free,active,
991260bb-0ea5-4b74-808e-068a7ce317f9,Active Milan Gym,fitness_studio,IT,Milan,2024-02-12,free,active,
0db15964-f36f-41e5-8cd0-b1a060b00744,Rome Flowers,florist,IT,Rome,2024-03-23,premium,active,
29a9a07d-303a-407b-a91b-ffa224a46269,Fresh Market,market_stall,IT,Milan,2023-05-01,free,active,
b1a9510f-9a30-4475-b970-265bd330471b,Rome Shop,clothing_store,IT,Rome,2023-03-07,free,active,
a6fd8fe8-869f-4093-a653-cf2d458f3a27,Peak Naples Gym,fitness_studio,IT,Naples,2023-09-23,free,active,
368d2340-7ffa-4e42-82b7-bbf4c0eebb91,Pixel Images,photography_studio,IT,Rome,2022-09-01,free,churned,2025-07-03
58b692c9-b279-44c0-9929-6997e896bb95,Bella Spa,beauty_salon,IT,Milan,2024-03-15,free,active,
2d5ce3ad-2c0a-4145-b822-d584fa32e9ca,Studio Spa,beauty_salon,IT,Rome,2024-02-15,premium,churned,2025-08-09
051e68a6-1683-4151-aa74-9758c1a2a47e,Peak Naples Training,fitness_studio,IT,Naples,2022-10-22,premium,churned,2025-05-19
5c9de58f-7c03-4d79-960b-761e28200e52,The Coffee,cafe,IT,Milan,2023-09-08,free,active,
c9dc815c-f827-4571-ac0a-40dbcf44589d,Bologna Movement,fitness_studio,IT,Bologna,2024-06-14,premium,active,
b8fe6712-9d96-4285-af70-02e9f51c9d10,Tech Service,electronics_repair,IT,Milan,2022-07-04,free,active,
14eaefd6-9f1f-4ab7-8600-a350cb2c6138,Naples Fitness,fitness_studio,IT,Naples,2023-06-12,free,active,
5794fbfc-6a33-453b-a18c-85b1f811c927,Little Florence Coffee,cafe,IT,Florence,2023-09-09,premium,active,
4303e549-3c44-4e17-a8b1-29230153c03c,Local Market,market_stall,IT,Bologna,2023-02-05,free,active,
bac055b3-bd56-4ad8-8321-24754b0b4b85,Barcelona Coffee,cafe,ES,Barcelona,2023-01-08,free,active,
6a9581a2-9353-47ca-b98f-ef9db8e66df5,The Boutique,clothing_store,ES,Barcelona,2022-10-27,free,active,
bb45a001-b19b-4123-bf13-a07bc42d91d6,Café Barcelona Coffee,cafe,ES,Barcelona,2023-06-02,free,active,
0110e386-ad90-4326-a37d-7b7628492574,Little Valencia Café,cafe,ES,Valencia,2024-06-29,free,active,
944513a0-a065-4363-bce4-92cee033e569,Madrid Spa,beauty_salon,ES,Madrid,2022-09-20,premium,active,
e2c9996e-be8b-4e43-9f42-bad323fecc59,The Roastery,cafe,ES,Bilbao,2024-03-20,free,churned,2025-03-20
32605cf8-eee5-443b-a1ee-4b6d9d3d8f9a,Seville Studio,beauty_salon,ES,Seville,2023-08-29,premium,active,
a18815f3-7b99-4bad-84e4-51a571254bea,Bilbao Roastery,cafe,ES,Bilbao,2024-03-10,free,active,
53470ec3-d74e-4331-a7a3-7ac2e24908f3,Strong Gym,fitness_studio,ES,Seville,2023-10-31,free,active,
242b9016-b103-4311-bd6f-f524661bebc7,The Coffee,cafe,ES,Málaga,2023-09-06,free,active,
43269af8-da08-4cdd-a02f-cc020e387ec4,Golden Bakes,bakery,ES,Seville,2023-04-17,free,active,
4e81407d-736d-4cb2-aa56-39edcdf6b83e,Vintage Barcelona Boutique,clothing_store,ES,Barcelona,2022-08-27,premium,active,
275f3a6b-fc7f-40a8-a070-b05b16c154d8,Artisan Málaga Loaves,bakery,ES,Málaga,2024-01-22,free,active,
f8ba18f6-704f-4448-a821-1bdc73e5ea6c,Málaga Espresso,cafe,ES,Málaga,2022-07-23,free,active,
4981371a-590c-41f6-aa38-6da0970cd133,The Valencia Coffee,cafe,ES,Valencia,2024-04-03,free,active,
